epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6458,1.37961,2.98837,1.45261,0.64821,0.27983,0.22685,0.14045,1.22878,2.57711,1.39894,0.000414313,0.000414313,0.000414313
2,22.0701,1.28647,2.3475,1.35664,0.64713,0.28389,0.22786,0.1435,1.31094,2.35753,1.34821,0.000814526,0.000814526,0.000814526
3,32.0219,1.29687,2.15417,1.36275,0.68408,0.31476,0.23283,0.14171,1.33748,2.81459,1.45113,0.00119824,0.00119824,0.00119824
4,41.9177,1.2665,2.03137,1.35195,0.50916,0.38107,0.27506,0.18155,1.24908,2.23032,1.36873,0.00117575,0.00117575,0.00117575
5,51.9113,1.22427,1.91911,1.32115,0.49965,0.38309,0.2793,0.17503,1.27259,2.33304,1.41619,0.001151,0.001151,0.001151
6,61.7829,1.20233,1.87385,1.31859,0.54764,0.34675,0.29762,0.19816,1.18384,2.09697,1.38077,0.00112625,0.00112625,0.00112625
7,71.6479,1.17978,1.7832,1.31569,0.34419,0.48377,0.38027,0.25538,1.16013,1.97022,1.3558,0.0011015,0.0011015,0.0011015
8,81.5068,1.14723,1.75557,1.29554,0.22877,0.51899,0.39635,0.24572,1.17239,1.9118,1.36131,0.00107675,0.00107675,0.00107675
9,91.3583,1.15398,1.73431,1.29771,0.41748,0.54872,0.42624,0.26248,1.15811,1.8665,1.3743,0.001052,0.001052,0.001052
10,101.289,1.11366,1.70406,1.28404,0.44827,0.51767,0.44273,0.27159,1.13544,1.90205,1.35854,0.00102725,0.00102725,0.00102725
11,111.588,1.11871,1.65699,1.27823,0.53534,0.48355,0.43647,0.27444,1.10749,1.87216,1.31936,0.0010025,0.0010025,0.0010025
12,121.866,1.11001,1.63876,1.27851,0.40104,0.51738,0.45875,0.29903,1.10226,1.82077,1.31233,0.00097775,0.00097775,0.00097775
13,131.782,1.08636,1.61162,1.25887,0.42187,0.54308,0.47052,0.3024,1.10097,1.83331,1.28963,0.000953,0.000953,0.000953
14,141.765,1.08393,1.61003,1.26141,0.60131,0.57156,0.53274,0.35373,1.06758,1.73609,1.29267,0.00092825,0.00092825,0.00092825
15,151.67,1.06907,1.59176,1.2584,0.47235,0.64873,0.54019,0.35531,1.04868,1.75882,1.3332,0.0009035,0.0009035,0.0009035
16,161.726,1.05979,1.55107,1.25182,0.4933,0.61031,0.50894,0.34143,1.05613,1.74804,1.29832,0.00087875,0.00087875,0.00087875
17,171.804,1.05265,1.5367,1.23783,0.55763,0.52599,0.53225,0.3595,1.08128,1.72853,1.31905,0.000854,0.000854,0.000854
18,181.789,1.03613,1.49671,1.24722,0.53456,0.53375,0.48809,0.32158,1.07927,1.97176,1.33272,0.00082925,0.00082925,0.00082925
19,191.685,1.04182,1.48747,1.24837,0.55696,0.53542,0.53804,0.3651,1.05794,1.70832,1.30284,0.0008045,0.0008045,0.0008045
20,201.777,1.03569,1.49207,1.23552,0.46689,0.60706,0.48125,0.31563,1.05115,1.75213,1.32247,0.00077975,0.00077975,0.00077975
21,211.778,1.03953,1.44266,1.23583,0.51705,0.62279,0.53816,0.35836,1.06916,1.77779,1.32759,0.000755,0.000755,0.000755
22,221.76,1.02787,1.43215,1.22701,0.4551,0.59687,0.51166,0.33955,1.01374,1.77689,1.28221,0.00073025,0.00073025,0.00073025
23,231.791,1.00632,1.40312,1.20813,0.46018,0.5429,0.49768,0.33524,1.03904,1.60066,1.28553,0.0007055,0.0007055,0.0007055
24,241.71,1.01373,1.39753,1.22475,0.53335,0.5387,0.55525,0.38994,1.01218,1.64137,1.27934,0.00068075,0.00068075,0.00068075
25,251.627,0.98586,1.37785,1.20734,0.52398,0.58726,0.52969,0.3773,1.01027,1.66066,1.28666,0.000656,0.000656,0.000656
26,261.604,0.99116,1.38022,1.20375,0.47875,0.55111,0.49032,0.32573,1.0432,1.87121,1.32459,0.00063125,0.00063125,0.00063125
27,271.505,0.97488,1.3616,1.20271,0.48957,0.59577,0.52991,0.36773,1.02606,1.69864,1.31315,0.0006065,0.0006065,0.0006065
28,281.42,0.96451,1.3325,1.19448,0.58465,0.62098,0.61578,0.40956,1.01222,1.64862,1.29384,0.00058175,0.00058175,0.00058175
29,291.426,0.96682,1.30959,1.19093,0.50298,0.63173,0.56842,0.37858,1.00433,1.78055,1.28498,0.000557,0.000557,0.000557
30,301.357,0.95815,1.31123,1.18348,0.59279,0.51301,0.54217,0.3688,1.03028,1.75592,1.29314,0.00053225,0.00053225,0.00053225
31,311.259,0.93876,1.2969,1.18419,0.55948,0.56273,0.5302,0.36296,1.01058,1.70533,1.30382,0.0005075,0.0005075,0.0005075
32,321.159,0.93933,1.27711,1.1842,0.51548,0.58947,0.51804,0.34972,1.0079,1.72329,1.29811,0.00048275,0.00048275,0.00048275
33,331.005,0.92101,1.26309,1.16905,0.50739,0.59354,0.507,0.34371,1.0331,1.82657,1.33259,0.000458,0.000458,0.000458
34,340.975,0.92774,1.25307,1.16482,0.50361,0.58765,0.52638,0.3538,1.0159,1.69081,1.29635,0.00043325,0.00043325,0.00043325
35,350.896,0.91415,1.2321,1.16298,0.57725,0.54002,0.54033,0.35185,1.0111,1.72192,1.30833,0.0004085,0.0004085,0.0004085
36,360.732,0.90437,1.21364,1.15428,0.56504,0.51579,0.49475,0.32587,1.00765,1.86052,1.29095,0.00038375,0.00038375,0.00038375
37,370.639,0.90175,1.20692,1.15507,0.46819,0.61349,0.53886,0.35863,1.0125,1.75495,1.29371,0.000359,0.000359,0.000359
38,380.44,0.89803,1.20026,1.15248,0.43357,0.63993,0.50134,0.33758,1.00947,1.76363,1.29217,0.00033425,0.00033425,0.00033425
