epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74037,1.61233,3.27837,1.48992,0.00929,0.69729,0.12986,0.08294,1.23717,3.40753,1.21766,0.000407407,0.000407407,0.000407407
2,8.20742,1.23214,2.1129,1.19336,0.41544,0.29554,0.26089,0.16147,1.30765,2.44946,1.20221,0.000807757,0.000807757,0.000807757
3,11.2812,1.23397,2.01795,1.1954,0.4993,0.37575,0.24193,0.1523,1.16909,2.10519,1.13061,0.00119161,0.00119161,0.00119161
4,14.2923,1.17675,1.89685,1.16965,0.57576,0.4146,0.29256,0.18166,1.21026,1.95435,1.18545,0.00117575,0.00117575,0.00117575
5,17.3157,1.18169,1.85529,1.1702,0.54938,0.43177,0.31356,0.19653,1.14867,1.84114,1.14191,0.001151,0.001151,0.001151
6,20.3205,1.16287,1.76036,1.16524,0.42821,0.50345,0.35802,0.22373,1.17124,1.87422,1.15583,0.00112625,0.00112625,0.00112625
7,23.3865,1.14034,1.73465,1.14453,0.36629,0.53095,0.35786,0.22393,1.18571,1.72028,1.14591,0.0011015,0.0011015,0.0011015
8,26.4048,1.13329,1.66854,1.15289,0.59898,0.42816,0.37916,0.23814,1.10765,2.05077,1.128,0.00107675,0.00107675,0.00107675
9,29.4038,1.1044,1.62353,1.13481,0.43741,0.48805,0.37677,0.2181,1.13992,1.7098,1.13227,0.001052,0.001052,0.001052
10,32.3736,1.08371,1.58575,1.11364,0.50794,0.51658,0.48208,0.308,1.146,1.6732,1.09871,0.00102725,0.00102725,0.00102725
11,35.329,1.09456,1.55528,1.12342,0.40489,0.55231,0.44328,0.27547,1.10227,1.6725,1.126,0.0010025,0.0010025,0.0010025
12,38.2527,1.08317,1.51231,1.11708,0.41121,0.53824,0.41781,0.2626,1.10482,1.6897,1.11993,0.00097775,0.00097775,0.00097775
13,41.2175,1.06636,1.51542,1.1066,0.42484,0.57981,0.48318,0.30262,1.07959,1.66034,1.09393,0.000953,0.000953,0.000953
14,44.2151,1.05705,1.46173,1.10409,0.50169,0.61935,0.48495,0.2914,1.11665,1.6552,1.12817,0.00092825,0.00092825,0.00092825
15,47.1494,1.03491,1.44551,1.09721,0.34887,0.66557,0.45659,0.29543,1.07789,1.59606,1.09353,0.0009035,0.0009035,0.0009035
16,50.1113,1.04423,1.40996,1.10016,0.48509,0.5935,0.50151,0.31634,1.07456,1.472,1.11261,0.00087875,0.00087875,0.00087875
17,53.0151,1.02678,1.43549,1.09306,0.67126,0.4394,0.47284,0.29847,1.09179,1.60515,1.12094,0.000854,0.000854,0.000854
18,55.9138,1.03746,1.38365,1.08246,0.38282,0.66799,0.47275,0.30587,1.05971,1.53502,1.10239,0.00082925,0.00082925,0.00082925
19,58.8448,1.02334,1.37005,1.0862,0.44383,0.51663,0.43692,0.29429,1.03028,1.6771,1.06077,0.0008045,0.0008045,0.0008045
20,61.8092,1.04597,1.38554,1.09793,0.43549,0.50575,0.51425,0.32526,1.06128,1.48694,1.1041,0.00077975,0.00077975,0.00077975
21,64.7752,0.99909,1.32698,1.07393,0.59549,0.49817,0.52916,0.33816,1.04366,1.45213,1.09055,0.000755,0.000755,0.000755
22,67.6517,0.99776,1.32992,1.07329,0.47757,0.54846,0.48244,0.30648,1.07107,1.48679,1.11094,0.00073025,0.00073025,0.00073025
23,70.5722,1.00896,1.34158,1.07496,0.42741,0.67825,0.50199,0.33334,1.04832,1.64691,1.0841,0.0007055,0.0007055,0.0007055
24,73.4643,0.97784,1.29286,1.06583,0.55009,0.51993,0.48142,0.2981,1.03711,1.55409,1.10243,0.00068075,0.00068075,0.00068075
25,76.3161,0.99567,1.28253,1.07694,0.50692,0.54042,0.52358,0.33378,1.07866,1.42905,1.10119,0.000656,0.000656,0.000656
26,79.1497,0.98135,1.25804,1.05835,0.464,0.52862,0.46645,0.30856,1.06098,1.5112,1.09874,0.00063125,0.00063125,0.00063125
27,82.0747,0.96824,1.25903,1.05516,0.42766,0.51712,0.47299,0.30762,1.05223,1.49554,1.09886,0.0006065,0.0006065,0.0006065
28,84.9857,0.984,1.22199,1.06443,0.49519,0.47727,0.47209,0.30096,1.03083,1.43687,1.05845,0.00058175,0.00058175,0.00058175
29,87.8377,0.95983,1.22892,1.04749,0.47529,0.59254,0.52824,0.32554,1.06756,1.48271,1.10567,0.000557,0.000557,0.000557
30,90.7022,0.95436,1.22342,1.05101,0.50027,0.57174,0.49916,0.32047,1.05824,1.4582,1.08483,0.00053225,0.00053225,0.00053225
31,93.5962,0.94351,1.17435,1.0457,0.45717,0.57348,0.49342,0.32687,1.0285,1.50705,1.06497,0.0005075,0.0005075,0.0005075
