epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3512,1.50727,2.52782,1.21347,0.74619,0.30396,0.28999,0.17617,1.25035,1.91751,1.11129,0.000414781,0.000414781,0.000414781
2,51.4858,1.24622,1.82735,1.07874,0.51827,0.4589,0.36151,0.22884,1.20648,2.5305,1.10569,0.000814985,0.000814985,0.000814985
3,75.9476,1.22693,1.67244,1.07608,0.36444,0.45891,0.38163,0.23847,1.1819,1.7368,1.08191,0.00119869,0.00119869,0.00119869
4,100.091,1.18795,1.57871,1.06062,0.36384,0.65625,0.45812,0.29342,1.14454,1.63847,1.09925,0.00117575,0.00117575,0.00117575
5,124.254,1.16601,1.50518,1.05466,0.61722,0.45696,0.44617,0.28277,1.14134,1.56047,1.08063,0.001151,0.001151,0.001151
6,148.584,1.13592,1.44485,1.04361,0.56416,0.56375,0.48052,0.31638,1.10958,1.52632,1.06843,0.00112625,0.00112625,0.00112625
7,172.823,1.11377,1.37982,1.03765,0.57348,0.6473,0.55902,0.34489,1.08153,1.54701,1.06273,0.0011015,0.0011015,0.0011015
8,196.116,1.09523,1.35322,1.02798,0.48155,0.58978,0.50543,0.32076,1.18689,1.53096,1.12511,0.00107675,0.00107675,0.00107675
9,220.577,1.08419,1.33119,1.0213,0.40538,0.58609,0.46437,0.3069,1.11528,1.54866,1.08747,0.001052,0.001052,0.001052
10,244.667,1.05802,1.2765,1.01093,0.42068,0.6001,0.496,0.31866,1.15152,1.56299,1.10264,0.00102725,0.00102725,0.00102725
11,268.287,1.04199,1.2505,1.00161,0.4087,0.45034,0.42834,0.28071,1.12058,1.59458,1.08604,0.0010025,0.0010025,0.0010025
12,292.781,1.03267,1.21093,1.00096,0.5082,0.51769,0.44716,0.2821,1.11264,1.80403,1.1024,0.00097775,0.00097775,0.00097775
13,316.836,1.01559,1.16321,0.99318,0.46011,0.44852,0.44824,0.29658,1.10038,1.6049,1.07928,0.000953,0.000953,0.000953
14,340.46,1.00033,1.1341,0.98448,0.37321,0.64572,0.42756,0.25985,1.14066,1.75095,1.11286,0.00092825,0.00092825,0.00092825
15,364.358,0.98549,1.10009,0.98034,0.38195,0.64065,0.44565,0.28882,1.11955,1.63361,1.08619,0.0009035,0.0009035,0.0009035
16,388.283,0.97132,1.06295,0.97513,0.41412,0.59138,0.44522,0.27114,1.14672,1.91207,1.11784,0.00087875,0.00087875,0.00087875
17,412.356,0.9546,1.03089,0.96668,0.34685,0.55547,0.41448,0.25937,1.15221,1.87503,1.11597,0.000854,0.000854,0.000854
