epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58378,1.76046,3.52068,1.38956,0.00846,0.52525,0.06323,0.03769,1.41438,3.33121,1.17654,0.000407407,0.000407407,0.000407407
2,11.6855,1.34304,2.16,1.10934,0.74501,0.13806,0.20429,0.12249,1.3514,2.74904,1.18438,0.000807757,0.000807757,0.000807757
3,15.9629,1.30871,2.03308,1.09414,0.72788,0.28533,0.2713,0.17596,1.17669,2.14325,1.08145,0.00119161,0.00119161,0.00119161
4,20.487,1.27096,1.94226,1.09561,0.48972,0.40856,0.27442,0.17458,1.19278,1.99009,1.11195,0.00117575,0.00117575,0.00117575
5,24.6699,1.25839,1.90838,1.09264,0.57367,0.46702,0.32854,0.20284,1.19915,1.87984,1.13805,0.001151,0.001151,0.001151
6,29.1625,1.26213,1.81583,1.09377,0.5573,0.44333,0.28964,0.18413,1.19962,1.86424,1.09061,0.00112625,0.00112625,0.00112625
7,33.6425,1.21699,1.81253,1.07452,0.60299,0.37845,0.33513,0.22183,1.16158,1.77031,1.09251,0.0011015,0.0011015,0.0011015
8,37.8917,1.20605,1.7425,1.07828,0.56646,0.45273,0.33698,0.21199,1.14829,1.98866,1.11016,0.00107675,0.00107675,0.00107675
9,42.4781,1.18623,1.67572,1.07036,0.50181,0.43939,0.32559,0.20118,1.16471,1.80269,1.10937,0.001052,0.001052,0.001052
10,47.2662,1.17914,1.64422,1.05291,0.45234,0.42184,0.40708,0.25532,1.16748,1.72028,1.09257,0.00102725,0.00102725,0.00102725
11,51.6486,1.18179,1.6473,1.06437,0.3945,0.48605,0.40954,0.24964,1.15736,1.70613,1.07811,0.0010025,0.0010025,0.0010025
12,56.206,1.1416,1.58333,1.04666,0.6035,0.39864,0.37624,0.24767,1.14868,1.88381,1.09257,0.00097775,0.00097775,0.00097775
13,60.3383,1.13221,1.58701,1.0397,0.61646,0.4231,0.40879,0.26087,1.13514,1.60236,1.08051,0.000953,0.000953,0.000953
14,64.1916,1.11569,1.53967,1.03075,0.45186,0.53201,0.42372,0.26448,1.14017,1.71142,1.08905,0.00092825,0.00092825,0.00092825
15,68.8336,1.10253,1.51457,1.0432,0.40932,0.59609,0.4371,0.28053,1.12854,1.64248,1.10555,0.0009035,0.0009035,0.0009035
16,73.4374,1.12509,1.48397,1.04637,0.50646,0.49578,0.4329,0.26312,1.1261,1.59126,1.08479,0.00087875,0.00087875,0.00087875
17,78.9435,1.11674,1.499,1.03185,0.66493,0.4019,0.42716,0.28457,1.11484,1.71441,1.08766,0.000854,0.000854,0.000854
18,84.281,1.11484,1.44956,1.02646,0.42036,0.6611,0.44988,0.28186,1.1129,1.87855,1.09336,0.00082925,0.00082925,0.00082925
19,89.3464,1.09588,1.44252,1.02515,0.42259,0.59966,0.43363,0.27658,1.09002,1.79435,1.07436,0.0008045,0.0008045,0.0008045
20,94.7286,1.10283,1.47329,1.02546,0.48058,0.62829,0.46256,0.28235,1.10484,1.59027,1.08271,0.00077975,0.00077975,0.00077975
